W,X,Y,UGF
5.55E-05,5.60E-06,9.07E-06,156467432
5.55E-05,5.60E-06,9.78E-06,157376957.5
5.55E-05,5.24E-06,1.12E-05,160182198.4
5.55E-05,5.24E-06,1.05E-05,158390481.2
5.55E-05,5.24E-06,4.80E-06,144746014.9
5.55E-05,5.24E-06,5.51E-06,147478369.9
5.55E-05,5.24E-06,6.22E-06,149643279.7
5.55E-05,5.24E-06,6.93E-06,151404308.9
5.55E-05,5.24E-06,7.64E-06,152866595.2
5.55E-05,5.24E-06,8.36E-06,154100985.1
5.55E-05,5.24E-06,9.07E-06,155157071
5.55E-05,5.24E-06,9.78E-06,156070675.4
6.12E-05,2.40E-06,1.12E-05,140273577.1
6.12E-05,2.40E-06,1.05E-05,139374092.3
6.12E-05,2.40E-06,4.80E-06,126787240.5
6.12E-05,2.40E-06,5.51E-06,129532518
6.12E-05,2.40E-06,6.22E-06,131713601.4
6.12E-05,2.40E-06,6.93E-06,133492764
6.12E-05,2.40E-06,7.64E-06,134974394.6
6.12E-05,2.40E-06,8.36E-06,136228877.3
6.12E-05,2.40E-06,9.07E-06,137305504.5
6.12E-05,2.40E-06,9.78E-06,138239896.2
6.12E-05,2.76E-06,1.12E-05,144456135.6
6.12E-05,2.76E-06,1.05E-05,143580672.3
6.12E-05,2.76E-06,4.80E-06,130882756.5
6.12E-05,2.76E-06,5.51E-06,133595461.6
6.12E-05,2.76E-06,6.22E-06,135749467.5
6.12E-05,2.76E-06,6.93E-06,137505511.6
6.12E-05,2.76E-06,7.64E-06,138966985.2
6.12E-05,2.76E-06,8.36E-06,140203595.5
6.12E-05,2.76E-06,9.07E-06,141264158.7
6.12E-05,2.76E-06,9.78E-06,142183949.7
6.12E-05,3.11E-06,1.12E-05,147833975.6
6.12E-05,3.11E-06,1.05E-05,146976969.2
6.12E-05,3.11E-06,4.80E-06,134224792.9
6.12E-05,3.11E-06,5.51E-06,136911307
6.12E-05,3.11E-06,6.22E-06,139043429.5
6.12E-05,3.11E-06,6.93E-06,140780709
6.12E-05,3.11E-06,7.64E-06,142225761.7
6.12E-05,3.11E-06,8.36E-06,143447766.8
6.12E-05,3.11E-06,9.07E-06,144495167.9
6.12E-05,3.11E-06,9.78E-06,145402968.6
6.12E-05,3.47E-06,1.12E-05,150647902.2
6.12E-05,3.47E-06,1.05E-05,149805693.4
6.12E-05,3.47E-06,4.80E-06,137034355.4
6.12E-05,3.47E-06,5.51E-06,139699354.1
6.12E-05,3.47E-06,6.22E-06,141813405.6
6.12E-05,3.47E-06,6.93E-06,143535118.6
6.12E-05,3.47E-06,7.64E-06,144966494
6.12E-05,3.47E-06,8.36E-06,146176291
6.12E-05,3.47E-06,9.07E-06,147212655.3
6.12E-05,3.47E-06,9.78E-06,148110373.7
6.12E-05,3.82E-06,1.12E-05,153050363.9
6.12E-05,3.82E-06,1.05E-05,152220386.8
6.12E-05,3.82E-06,4.80E-06,139450372.8
6.12E-05,3.82E-06,5.51E-06,142097430.6
6.12E-05,3.82E-06,6.22E-06,144196337.3
6.12E-05,3.82E-06,6.93E-06,145904945.7
6.12E-05,3.82E-06,7.64E-06,147324760.9
6.12E-05,3.82E-06,8.36E-06,148524202.2
6.12E-05,3.82E-06,9.07E-06,149551174
6.12E-05,3.82E-06,9.78E-06,150440286.8
6.12E-05,4.18E-06,1.12E-05,155141844
6.12E-05,4.18E-06,1.05E-05,154322205.4
6.12E-05,4.18E-06,4.80E-06,141564846
6.12E-05,4.18E-06,5.51E-06,144196766
6.12E-05,4.18E-06,6.22E-06,146282832.2
6.12E-05,4.18E-06,6.93E-06,147980282.1
6.12E-05,4.18E-06,7.64E-06,149390215.6
6.12E-05,4.18E-06,8.36E-06,150580773.5
6.12E-05,4.18E-06,9.07E-06,151599662.4
6.12E-05,4.18E-06,9.78E-06,152481347.6
6.12E-05,4.53E-06,1.12E-05,156991105.3
6.12E-05,4.53E-06,1.05E-05,156180353.2
6.12E-05,4.53E-06,4.80E-06,143441443.2
6.12E-05,4.53E-06,5.51E-06,146060461.8
6.12E-05,4.53E-06,6.22E-06,148135533.7
6.12E-05,4.53E-06,6.93E-06,149823389.5
6.12E-05,4.53E-06,7.64E-06,151224794.7
6.12E-05,4.53E-06,8.36E-06,152407659.8
6.12E-05,4.53E-06,9.07E-06,153419527.3
6.12E-05,4.53E-06,9.78E-06,154294741.7
6.12E-05,4.89E-06,1.12E-05,158854988.8
6.12E-05,4.89E-06,1.05E-05,157843824.9
6.12E-05,4.89E-06,4.80E-06,145125885
6.12E-05,4.89E-06,5.51E-06,147733810.9
6.12E-05,4.89E-06,6.22E-06,149799386.8
6.12E-05,4.89E-06,6.93E-06,151478922.5
6.12E-05,4.89E-06,7.64E-06,152872904.8
6.12E-05,4.89E-06,8.36E-06,154049051.8
6.12E-05,4.89E-06,9.07E-06,155054768.8
6.12E-05,4.89E-06,9.78E-06,155924299.3
6.12E-05,5.60E-06,1.12E-05,165440034.8
6.12E-05,5.60E-06,1.05E-05,163620379.1
6.12E-05,5.60E-06,4.80E-06,148045657
6.12E-05,5.60E-06,5.51E-06,150635579.9
6.12E-05,5.60E-06,6.22E-06,152685642.2
6.12E-05,5.60E-06,6.93E-06,154351505.5
6.12E-05,5.60E-06,7.64E-06,155733225.6
6.12E-05,5.60E-06,8.36E-06,156898221.9
6.12E-05,5.60E-06,9.07E-06,157893685.6
6.12E-05,5.60E-06,9.78E-06,159097897.2
6.12E-05,5.24E-06,1.12E-05,162314223.5
6.12E-05,5.24E-06,1.05E-05,160473682.5
6.12E-05,5.24E-06,4.80E-06,146652038.9
6.12E-05,5.24E-06,5.51E-06,149250351.9
6.12E-05,5.24E-06,6.22E-06,151307661.4
6.12E-05,5.24E-06,6.93E-06,152979925.4
6.12E-05,5.24E-06,7.64E-06,154367396.7
6.12E-05,5.24E-06,8.36E-06,155537631.9
6.12E-05,5.24E-06,9.07E-06,156537920.4
6.12E-05,5.24E-06,9.78E-06,157402420.5
6.68E-05,2.40E-06,1.12E-05,132849053
6.68E-05,2.40E-06,1.05E-05,131727286.7
6.68E-05,2.40E-06,4.80E-06,118612874.5
6.68E-05,2.40E-06,5.51E-06,121683274.9
6.68E-05,2.40E-06,6.22E-06,124141962.8
6.68E-05,2.40E-06,6.93E-06,126162347.1
6.68E-05,2.40E-06,7.64E-06,127856567.2
6.68E-05,2.40E-06,8.36E-06,129300590.9
6.68E-05,2.40E-06,9.07E-06,130547850
6.68E-05,2.40E-06,9.78E-06,131637107.5
6.68E-05,2.76E-06,1.12E-05,138642363.2
6.68E-05,2.76E-06,1.05E-05,137568011.5
6.68E-05,2.76E-06,4.80E-06,124655161.7
6.68E-05,2.76E-06,5.51E-06,127610227.1
6.68E-05,2.76E-06,6.22E-06,129975103.1
6.68E-05,2.76E-06,6.93E-06,131917232.2
6.68E-05,2.76E-06,7.64E-06,133544833.4
6.68E-05,2.76E-06,8.36E-06,134931188.9
